model_label,display_name,cer_pct,median_cer_pct,micro_cer_pct,wer_pct,der_pct,n,der_n
paddleocr_vl15_zero_shot,PaddleOCR-VL-1.5 (zero-shot),543.3,100.0,270.6,840.9,200.9,326,319
qwen25_vl3_zero_shot,Qwen 2.5 VL-3B (zero-shot),253.5,114.3,158.1,329.5,119.6,326,319
paddleocr_vl15_lora_finetuned,PaddleOCR-VL-1.5 (LoRA fine-tuned — main supervised),96.5,88.8,84.9,122.6,66.4,326,319
finetuned_paddleocr_v1,PaddleOCR PP-OCRv4 (CRNN fine-tuned — comparison),91.5,96.3,93.9,103.4,91.8,326,319
