model_label,display_name,cer_pct,wer_pct,der_pct,n
ablation_aug_no_aug_test,Fine-tuned − RecAug,97.0,104.7,77.5,493
ablation_aug_with_aug_test,Fine-tuned + RecAug,101.6,107.9,80.1,493
