model_label,display_name,cer_pct,wer_pct,der_pct,n,der_n
tesseract_eng,Tesseract (eng),120.3,153.5,98.5,326,319
tesseract_yor,Tesseract (yor),124.4,163.7,87.7,326,319
tesseract_eng+yor,Tesseract (eng+yor),122.6,160.0,93.9,326,319
paddleocr_vl15_zero_shot,PaddleOCR-VL-1.5 (zero-shot),543.3,840.9,200.9,326,319
paddleocr_vl15_lora_finetuned,PaddleOCR-VL-1.5 (LoRA fine-tuned — main supervised),96.5,122.6,66.4,326,319
