model_label,display_name,cer_pct,wer_pct,der_pct,n
baseline_english_pretrained,PaddleOCR PP-OCRv4 (EN pretrained),174.5,100.0,84.0,326
tesseract_eng,Tesseract (eng),120.3,153.5,98.5,326
tesseract_yor,Tesseract (yor),124.4,163.7,87.7,326
tesseract_eng+yor,Tesseract (eng+yor),122.6,160.0,93.9,326
paddleocr_vl15_zero_shot,PaddleOCR-VL-1.5 (zero-shot),543.3,840.9,200.9,326
qwen25_vl_zero_shot,Qwen 2.5 VL (zero-shot),253.5,329.5,119.6,326
paddleocr_vl15_lora_finetuned,PaddleOCR-VL-1.5 (LoRA fine-tuned — main supervised),96.5,122.6,66.4,326
